_id	_rev	$doctype	annotator	taskClarity	taskScope	taskTimePredictability	taskLiteralSentimentalDistinctivity	taskLiteralDistinctivity	taskSentimentalDistinctivity	taskTechnicalDifficulties	datasetRealism	datasetDetail	datasetVariety	personalDataScope	personalDataTruth	userInterfaceClarity	userInterfaceAesthetics	userInterfaceRotationUsefulness	userInterfaceContrastSwitchingUsefulness	userInterfaceCharacterLimit	userInterfaceControls	userInterfacePanningUsefulness	positive	negative	suggestions
023b70256d83e844210a0528a4c6b228	1-9e7983bbf525bcf80a1032edc50e892c	feedback	41f8298aed788d44ae4ca71d610ed3e9	2	4	2	1	4	4	4	4	2	2	4	5	4	3	2	3	4	4	4			
03704545fb162d361e52f12ae5285d60	1-e13696e726ba205bab1bea55374b59cb	feedback	07bc41f34c4738973ce20839c2bbd69e	4	3	4	4	5	4	3	3	4	5	5	4	5	3	5	1	5	4	5			
054bbd33d1377e1f8ef1cca626f6c425	1-304dc004ff31758abedb9683434cdd6d	feedback	df96c9018605226aa30227b813f29e15	5	4	5	4	4	4	3	5	5	5	5	5	5	4	5	4	5	5	5	die Vielfalt der Gegenstände, die ich beschrieben habe	ich finde den ständig von links nach rechts durchlaufende Hintergrund mit Möbeln bei der Beantwortung dieses Feldes etwas störend	Wäre super, wenn es auch auf dem Mac laufen würde. Ich musste so mit einem sehr alten und langsamen Laptop arbeiten
1a2faea07948961247f074c2e8abe811	1-0188c1a9a05d14d1a27c8c85b7f6e905	feedback	1a2faea07948961247f074c2e8228881	5	3	3	2	2	3	5	3	3	3	4	5	3	4	5	3	5	4	4	keine	keine	nein
1bc982edb0a86c07da0e7d79cc93a48d	1-9d9812d4a0261e24a99d6875c7a21658	feedback	ab35e1e97d64e0a0333ca2b4bed6778c	4	3	5	3	5	3	5	5	2	5	4	4	5	4	3	1	5	2	5	Vielfältige Auswahl an Gegenständen.	Schubladen nicht unterteilt. Nicht erkennbar ob 3 oder 6 Schubladen.	Zoom funktion um Details besser zu erkennen
242ee1d5579f65f69c164b6abadb1305	1-f22fa263898ed47382af0019c6a487be	feedback	2a9ddca5eb578d86031f1ab0e2561fdd	3	3	5	5	4	3	5	5	5	5	4	5	4	4	4	5	3	4	5	Ansprache der Teilnehmer:innen war klar und verständlich, Beispiele zur Formulierung fand ich auch sehr hilfreich.	Bewergende Gegenstände am Ende der Befragung irritierten mich bei der Eingabe	Nein.
2c6aae1a3f471ba2e93bd1f4ba6c2d65	1-656ecc98bce11886a21f41a0b3d3772b	feedback	232959365b58b316eca0642f554fdcac	5	5	4	2	3	3	5	5	4	5	5	5	5	5	5	3	4	5	5			
4696b49d9defb437ab35deb56e94614a	1-4fbd1bbbc1f2f625442ae2a287cdd705	feedback	f5c88d1c4299d4ce63e37b8a53e05216	5	5	4	4	5	4	5	5	5	5	5	5	5	2	5	1	5	5	5	Gute Erklärung und einfache Bedienung		Auswahl des Wohnungstyps eher unklar. Einfache 2-Zimmer Wohnung war nicht auswählbar. Was ist eine Cluster-Wohnung oder Arbeits-Wohn-Einheit? etc...
4c6148900a7a60628ca9c86d279506e7	1-8671cb2c6a72323160840925f47c8683	feedback	995dda9a92325ca868dc5420a3831d30	3	4	4	2	3	3	5	3	3	2	5	5	5	3	3	1	5	3	3	Witzige Möbel	Zweck meist eindeutig, Herkunft oft nicht ersichtlich, Preis bestimmt random, also kaum schätzbar	
55c46d91727335a045a7b2c0a3d2b184	1-0437418b42df34f2ef6df95d8820d91c	feedback	bb2981a82e4fbe7d429c55c612513229	4	4	3	4	5	4	5	4	4	4	5	5	5	4	5	5	4	3	5	Die dargestellten Objekte sahen relativ realitätsnah aus, obwohl sie computergeneriert sind. Zudem finde ich die Anwendung angenehm zu bedienen, da sie an Videospiele erinnert.	Die prozentuale Darstellung der übrigen Zeichen war mMn. nicht genau genug. Alternativ hätte ich mir die genaue Anzahl der übrigen Zeichen geüwnscht, um die Sätze noch genauer formulieren zu können. Zudem fehlte mir die Option, die Gegenstände mit der Maus frei zu rotieren. Dazu hätte man, finde ich, mehr Freiheiten, die Gegenstände genauer zu betrachten und auf Details zu achten.	Siehe oben. Sonst ist alles super! Viel Erfolg!
5b26dbe7aa96e023886254324f7bf4ed	1-421426f105f1a5d0b13e29bad738039e	feedback	cf6b00d23e22b8bfa5355f8223b71589	4	2	2	5	5	3	5	3	2	4	5	5	5	4	4	1	5	5	4	Stabilität des Programms	Der durchlaufende Hintergrund auf der Start- und Feedback-Seite	Kein durchlaufender Hintergrund
6baa26e99fb3b14202df81514c5407fb	1-607ab9ea0cfe0e595d5c7bf25eea5570	feedback	15f2e8857a087b993fcaf84691d77383	4	3	2	4	5	2	5	3	2	4	4	3	4	3	2	3	5	2	2			
76122f0e68b0a272b27bb20b132e42eb	1-9c5d18fe8af53c4ca5766c4deb7a2775	feedback	78ae0ae7bd9acce02df866c30bbfcb60	4	3	2	4	2	2	5	4	2	4	5	5	4	2	3	2	5	4	4		der bewegende Bildschirmhintergrund mit den verschieden Möbel sorgt für Kopfschmerzen, Schwindel und unbehagen; vorallem bei Brillenträger. 	
7a2833fc94a6a076053446a08b21cf32	1-96fa8b9941452cce594bcbf442a5a22b	feedback	2f90f56090b736bf056f394ea057f524	3	4	4	2	5	3	5	4	5	5	4	5	5	4	5	2	4	5	5	Die Neigung der Elemente	keine	Mehr Zeichen.
7cc6cf7e854dbdc99798a8ae7058f621	1-f4c3ab9bfbc65b5b2e73449f9ee4d5a6	feedback	35403ea166f98b24ad55f418bd54dc03	5	4	5	2	4	3	5	3	3	4	5	5	5	4	4	2	5	5	4	Simple und klare Benutzerführung	Gleiches (oder nahezu identisches) Objekt wurde 2x hintereinander gezeigt	
8424b0acdbbed24977e874e19db83e34	1-8dc8a2ef21ac15d3659c7f8aa7940b3a	feedback	8424b0acdbbed24977e874e19d503dee	5	5	3	5	3	2	5	3	3	5	5	4	5	5	5	3	1	5	3	Intuitive Nutzeroberfläche	Begrenzte Anzahl an Wörtern zur Beschreibung	
b5077d9624b25b7cfb3960f504ad12ba	1-20c119a323da5597619e02556a70285c	feedback	b34dd6dd3b4d4d3a4ee82e67a755be60	5	3	3	4	5	4	5	5	5	5	4	5	4	3	4	2	4	5	5	Die Möbelstücke waren teilweise sehr ansprechend und auch in hohem Detail aufgelöst 	Nach ein paar Möbelstücken ist der Spaß bissl vergangen und man wollte halt fertig werden.	Vielleicht eine Angabe, wie weit man ist (bei welchem Möbelstück), oder Anzeige in Balken in Prozent.
b5203c177cecc1a946c8b5cfb72c2b7e	1-edf0a46d22e80628f008bcb1b6b36cae	feedback	41f8298aed788d44ae4ca71d616a6e12	4	4	4	3	3	3	5	5	4	4	4	5	4	4	4	2	3	4	5			
ba080a6aa24f73a73acf29c074f28ca2	1-a765e88332ab9724a16379de38089653	feedback	53594e793ceb6c9200288945995993b5	5	3	4	1	5	1	5	3	3	3	2	5	4	1	2	3	5	2	2	Wenige UI Elemente pro Seite	Das Design des UI und die Schriftart. 	
c5a688f7e0a3ea366a87bcbbd6486fc5	1-58b6f9045d8502e8b52e7b84f9d59606	feedback	f5c88d1c4299d4ce63e37b8a53e5629f	5	5	5	3	4	2	5	4	4	5	5	5	5	4	4	1	4	5	4	Die Applikation, die Progressbars und die persönlich wirkenden Textfelder, und der Smiley im Ladebildschirm	Keine	
c5a688f7e0a3ea366a87bcbbd679dd90	1-45fc385dc0e3b2845b515587916c6af3	feedback	c106b5213702f43ace910834c3b53771	5	3	4	3	4	3	5	5	5	5	5	5	5	1	4	3	5	5	4	Die Details der Objekte		"Mit der ""Enter"" - Taste in das nächste Feld springen zu können"
cbc4a90f5a3c2975960e82562cb02931	1-e555bbb5cb5799eb526eb613d59924d3	feedback	4666698fed33ba12866241e987bd78f2	5	4	2	5	4	4	5	3	2	3	5	5	5	2	4	2	5	5	4	Made with Unity. Test wirkt mühevoll ausgearbeitet.	Bewegende Gegenstände im Hintergrund erschweren das Lesen. Aufgabenstellung monoton.	Ein Wort Antworten (gekoppelt mit mehr Bildern), multiple choice zur Beschleunigung der Antworten, Hintergrundmusik. Weniger ähnliche Möbelstücke während einzelner Befragung. 
da594b67edf82108d8b9fd34a3206448	1-d27cbe852dfdd5015820a453268713ad	feedback	34c4b4169948532468e848c36d202386	3	4	5	4	3	2	5	5	4	5	5	5	5	4	3	3	4	5	4	Die Funktionen der GUI	Ich persönlich fühle nicht zwangsläufig etwas, wenn ich einen Gegestand sehe. Die subjektive Empfindung herauszuarbeiten, war deshalb nicht immer leicht	
de0726cec8405d8a89d38464659833da	1-8b7478263a08c7ed299031bc1c4ee0f4	feedback	6a3687ada6d62ca7b69f8849d68dae7a	5	5	5	4	4	4	5	5	4	3	4	5	5	5	5	4	5	5	5	"Die verschiedenen Ansichten waren perfekt um die Details zu erkennen. Auch die ""persönliche"" Note durch die Handschriftähnliche Schrift war sehr ansprechend. "	Keine.	Im Menü fehlt die Auswahlmöglichkeit für Hausfrauen
e44875d01f9a7de87c3712702ccb7549	2-85252f031705837b643ba94a72d515f0	feedback	b027bf49739ed54438a8380ea7697f65	4	2	4	4	5	5	5	4	4	4	3	5	5	5	5	3	2	5	5	Wie ein Spiel aufgebaut, fand ich nett.	Etwas umfangreich. Teilweise zu wenig Zeichen verfügbar, um Sachen zu beschreiben	Mehr Zeichen zulassen und etwas weniger Möbelstücke pro Nutzer
f77715de8aebd0fb782f52797787b059	2-97ab5e811eec19850238276e34ead62e	feedback	ad2920eb9d6114f18fd4e53a1d4dd0f5	3	4	4	3	5	2	1	4	5	4	4	5	5	4	2	4	4	4	2		in 3440x1440 ist am Ende die weiter-Schaltfläche nicht erreichbar. Witzigerweise passiert das erst NACH der Frage zu den technischen Problemen.	
f8a25e3f0ec1679b6dc601d4594b11b8	1-73ff35b2a013cf5a1cc4329c9699e509	feedback	0939a13407e3f8e2ed69013707a619d4	4	3	5	3	4	4	5	4	5	4	4	5	5	5	5	3	3	4	4			
f8a25e3f0ec1679b6dc601d4596d14ed	1-e8439171e4863d55358f4f3707304879	feedback	26e7da5a5c74d748ed8f2e37df2f5816	5	3	4	5	5	3	5	3	4	5	5	5	5	4	5	3	5	5	4	Klare Benutzerführung, vielseitige Möbelstücke.	Der Prozess dauert etwas zu lang. Bei manchen Gegenständen sind Unterseiten durchsichtig. 	
faea44cd149a0df864133d0a45d2f027	1-29fb98815d58ea4ea99c1fdeda718a4c	feedback	faea44cd149a0df864133d0a45a5a6e8	2	3	1	2	4	2	5	2	4	3	4	5	5	2	2	3	3	5	3			
